search.id,University,Department,Position,Name,ecoevo,sex,PhD.taiwan,PhD.country,PhD.university,PhD.uni.rank,PhD,Assistant.since,full.professor,time.to.assistant,time.to.full,Paper.number.before,Paper.number.after,Associate.since,Professor.since,Year,Papers,Citations,Years,Cites_Year,Cites_Paper,Cites_Author,Papers_Author,Authors_Paper,h_index_before,h_index_after,h_index_diff,g_index,hc_index,hI_index,hI_norm,AWCR,AW_index,AWCRpA,e_index,hm_index,QueryDate,Cites_Author_Year,hI_annual,h_coverage,g_coverage,star_count,year_first,year_last,ECC,acc1,acc2,acc5,acc20,hA,beforeafter,stage
1,Academia Sinica,Biodiversity Research Center,Professor,Benny_Kwok_Kan_Chan,1,m,non-Taiwan,Hong Kong,The University of Hong Kong,22,2000,2005,2016,5,11,NA,NA,NA,NA, 2001 to 2005,5,171,20,8.55,34.2,104.67,3.17,2,5,7,2,5,5,2.5,5,9.3,3.05,5.64,12.08,3.17,11/28/21 17:12,5.23,0.25,100,100,0,2001,2005,171,5,1,0,0,2,before,assistant
2,National Taiwan University,Department of Forestry and Resource Conservation,Professor,Biing_T._Guan,1,m,non-Taiwan,USA,University of Illinois at Urbana-Champaign,82,1991,1995,2005,4,10,NA,NA,NA,NA, 1991 to 1995,3,176,30,5.87,58.67,87.67,1.33,2.33,2,2,0,3,2,1,2,5.87,2.42,2.92,13.04,1.33,12/17/21 0:58,2.92,0.07,98.9,100,0,1991,1993,176,2,2,0,0,2,before,assistant
3,National Cheng Kung University,Institute of Tropical Plant Sciences and Microbiology,Assistant Professor,Chao-Li_Huang,1,m,Taiwan,Taiwan,National Cheng Kung University,252,2015,2017,NA,2,NA,NA,NA,NA,NA, 2013 to 2017,8,97,8,12.13,12.13,19.07,1.52,5.38,6,NA,,8,5,1.09,3,16.15,4.02,3.17,7.42,1.32,12/20/21 19:06,2.38,0.38,93.8,100,0,2013,2017,97,6,4,0,0,3,before,assistant
4,Academia Sinica,Biodiversity Research Center,Professor,Chaolun_Allen_Chen,1,m,non-Taiwan,Australia,James Cook University,424,1995,1997,2010,2,13,NA,NA,NA,NA, 1993 to 1997,5,274,26,10.54,54.8,69.72,1.48,3.8,4,10,6,5,3,1.14,4,10.73,3.28,2.74,16.06,1.28,11/30/21 3:40,2.68,0.15,100,100,0,1995,1996,274,2,2,0,0,2,before,assistant
5,National Taiwan University,Department of Life Science,Professor,Chau-Ti_Ting,1,f,Taiwan,Taiwan,National Taiwan University,68,1991,2000,2020,9,20,NA,NA,NA,NA, 1996 to 2000,5,1180,24,49.17,236,327.17,1.42,3.6,5,6,1,5,5,1.39,5,51.83,7.2,14.43,33.99,1.42,11/20/21 22:45,13.63,0.21,100,100,2,1997,2000,1180,5,5,4,1,5,before,assistant
6,National Tsing Hua University,Department of Life Science,Assistant Professor,Chen_Siang_Ng,1,m,non-Taiwan,USA,University of California; Davis,108,2009,2016,NA,7,NA,NA,NA,NA,NA, 2012 to 2016,7,330,9,36.67,47.14,57.34,1.24,5.71,7,4,-3,7,6,1.23,5,46.14,6.79,8,16.76,1.24,11/27/21 4:33,6.37,0.56,100,100,2,2012,2016,330,7,6,5,0,5,before,assistant
7,National Chung Hsing University,Department of Horticulture,Professor,Chen-Fa_Wu,1,m,Taiwan,Taiwan,National Taipei University,1201,2005,2007,2017,2,10,NA,NA,NA,NA, 2003 to 2007,2,248,15,16.53,124,49.6,0.4,5,2,4,2,2,2,0.4,2,17.59,4.19,3.52,15.62,0.4,12/20/21 17:20,3.3,0.13,100,100,1,2006,2007,248,2,1,1,0,2,before,assistant
8,National Taiwan University,Institute of Ecology and Evolutionary Biology,Associate Professor,Cheng-Ruei_Lee,1,m,non-Taiwan,USA,Duke University,52,2013,2016,NA,3,NA,NA,NA,NA,NA, 2012 to 2016,15,1996,9,221.78,133.07,471.02,4.1,4.2,14,8,-6,15,12,3.38,10,344.28,18.55,76.55,42.32,4.1,12/4/21 3:01,52.33,1.11,99.5,100,6,2012,2016,1996,15,14,9,3,7,before,assistant
9,National Taiwan University,Department of Life Science,Assistant Professor,Cheng-Hsiu_Tsai,1,m,non-Taiwan,New Zealand,University of Otago,194,2015,2018,NA,3,NA,NA,NA,NA,NA, 2014 to 2018,14,294,7,42,21,132.5,6.78,2.36,10,NA,,14,10,3.85,8,52.16,7.22,23.74,12.96,6.28,11/26/21 3:59,18.92,1.14,91.2,100,0,2014,2018,294,13,12,4,0,4,before,assistant
10,National Chung Hsing University,Department of Soil and Environmental Sciences,Associate Professor,Cheng-Hua_Huang,1,m,non-Taiwan,USA,University of Florida,173,2009,2014,NA,5,NA,NA,NA,NA,NA, 2010 to 2014,7,228,10,22.8,32.57,62.03,2.02,3.86,6,5,-1,7,5,1.44,4,24.97,5,6.76,13.75,2.02,12/20/21 18:39,6.2,0.4,98.7,100,0,2011,2014,228,6,4,2,0,3,before,assistant
11,National Taiwan Normal University,Department of Life Science,Associate Professor,Chi-Chien_Kuo,1,m,non-Taiwan,USA,University of California; Davis,108,2010,2014,NA,4,NA,NA,NA,NA,NA, 2010 to 2014,12,273,10,27.3,22.75,67.75,3.08,4.33,9,5,-4,12,7,2.19,6,29.38,5.42,7.25,13.56,2.66,11/28/21 21:49,6.77,0.6,97.1,100,0,2011,2014,273,8,6,1,0,3,before,assistant
12,National Taiwan University,Department of Entomology,Associate Professor,Chi-Wei_Tsai,1,m,non-Taiwan,USA,The Ohio State University,120,2006,2009,NA,3,NA,NA,NA,NA,NA, 2005 to 2009,9,737,16,46.06,81.89,160.7,1.95,4.67,8,4,-4,9,8,1.73,8,55.75,7.47,12.23,25.79,1.95,12/10/21 4:07,10.04,0.5,98.9,100,2,2005,2009,737,8,8,6,0,5,before,assistant
13,National Chung Hsing University,Department of Plant Pathology,Associate Professor,Chi-Yu_Chen,1,m,Taiwan,Taiwan,National Chung Hsing University,675,2003,2005,NA,2,NA,NA,NA,NA,NA, 2001 to 2005,5,20,19,1.05,4,9.83,1.84,3.2,2,2,0,4,1,1,2,1.15,1.07,0.57,3.87,1,12/20/21 17:55,0.51,0.11,95,100,0,2002,2004,20,0,0,0,0,1,before,assistant
14,National Chung Hsing University,Department of Plant Pathology,Assistant Professor,Chia-Ching_Chu,1,m,non-Taiwan,USA,University of Illinois at Urbana-Champaign,82,2014,2017,NA,3,NA,NA,NA,NA,NA, 2013 to 2017,7,255,8,31.88,36.43,61.95,1.9,4,5,NA,,7,5,1.14,4,37.78,6.15,9.31,14.93,1.9,12/20/21 18:05,7.74,0.5,97.3,100,1,2013,2017,255,6,5,3,0,3,before,assistant
15,National Sun Yat-sen University,Department of Biological Sciences,Assistant Professor,Chia-Hao_Chang-Yang,1,m,Taiwan,Taiwan,National Taiwan University,68,2013,2018,NA,5,NA,NA,NA,NA,NA, 2014 to 2018,8,212,6,35.33,26.5,44.93,1.73,4.75,7,NA,,8,6,1.48,5,55.33,7.44,11.91,12.57,1.73,12/8/21 4:46,7.48,0.83,97.6,100,1,2015,2018,212,7,6,5,0,5,before,assistant
17,National Taiwan University,Institute of Fisheries Science,Associate Professor,Chia-Ying_Ko,1,f,Taiwan,Taiwan,National Taiwan University,68,2009,2016,NA,7,NA,NA,NA,NA,NA, 2012 to 2016,9,1127,9,125.22,125.22,227.65,2.08,4.44,6,4,-2,9,5,1.29,3,177.25,13.31,35.81,32.79,2.08,12/17/21 1:27,25.29,0.33,98.6,100,2,2012,2016,1127,6,3,2,2,2,before,assistant
18,Academia Sinica,Biodiversity Research Center,Assistant Professor,Chien-Hsiang_Lin,1,m,non-Taiwan,Italy,University of Bari,900,2017,2020,NA,3,NA,NA,NA,NA,NA, 2016 to 2020,7,93,5,18.6,13.29,22.8,1.63,4.43,6,NA,,7,6,1.38,3,27.7,5.26,6.45,7.48,1.43,12/1/21 5:08,4.56,0.6,98.9,100,0,2016,2020,93,7,6,1,0,4,before,assistant
19,National Taiwan University,Department of Life Science,Assistant Professor,Chih-Han_Chang,1,m,non-Taiwan,USA,Johns Hopkins University,25,2015,2019,NA,4,NA,NA,NA,NA,NA, 2015 to 2019,17,456,6,76,26.82,115.58,4.38,4.18,11,NA,,17,11,2.47,6,129.25,11.37,32.02,17.49,3.88,11/25/21 23:39,19.26,1,93.6,100,2,2015,2019,456,15,11,9,1,7,before,assistant
